id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,is_sar
3aa9646b,0.01665348,-0.022373362,0.029434577,0.024200575,0.008518119,0.01920516,0.00011912024,-0.0044950303,-0.0048172423,0.024683945,0.0014679194,0.025777591,0.0031948057,-0.025016619,0.0034154016,0.022659034,0.00948278,-0.010376496,-0.00026479544,0.00760152,0.002502392,0.0029357634,0.023774352,-0.021662889,-0.004355565,0.0055590486,-0.01124754,0.0037368804,-0.0059301327,-0.0033964806,0.022683576,-0.015906215,0
1e46e726,0.010128032,0.018849434,-0.02307619,-0.0012077614,-0.010284946,-0.014407485,0.0015055551,-0.014259044,0.013674785,-0.02402535,-0.015083234,0.0073126582,0.025355544,0.019781156,0.004709123,-0.023288773,0.026441108,0.014346729,-0.026476603,-0.010138194,-0.008013747,0.016940257,0.020794285,-0.01735367,-0.014928141,0.011634896,-0.017037952,-0.027755452,-0.001500758,-0.024139836,-0.030259766,0.026108168,0
49203bc3,-0.0021910877,-0.026739275,0.0053704805,-0.004439311,0.00019160312,0.016501531,-0.002794718,-0.011158354,-0.013902492,0.0154953245,0.019798063,-0.01160954,-0.011444885,0.0240655,0.018294014,-0.015633717,-0.010908285,0.0042069885,-0.0070181633,0.01566402,0.015427817,-0.0054372,0.018413806,0.012780424,-0.029605696,-0.030296154,0.0027083615,0.010661689,0.014417905,-0.027511703,0.006894892,-0.027158333,0
a74d1101,-0.0033918873,-0.017783586,-0.009781992,-0.026462827,-0.020670263,0.0113619985,-0.030823044,-0.024861343,0.010247305,-0.0070367595,0.028469453,0.02135929,-0.009882648,-0.0014668925,-0.009859229,-0.004834739,-0.0313138,-0.021083027,-0.013966323,-0.023192242,-0.030770676,0.0192717,0.015851356,0.028175754,-0.006826154,0.0023216736,-0.015091307,-0.021083955,-0.028587064,-0.0047870358,0.010661981,-0.022505054,1
616d4505,0.022684917,-0.00019062453,-0.003965281,-0.0029601299,-0.015267886,-0.004893459,0.023440454,0.018718438,-0.019462708,0.008847631,-0.026262116,-0.00347373,0.005074012,0.0010201597,-0.020647025,0.029197296,-0.018345412,-0.016832486,0.010203629,-0.0064170165,0.025337549,0.03019524,-0.0267822,-0.0015103889,-0.0067856605,0.02584796,-0.0005834224,-0.012091686,0.013210295,0.026254091,8.4330524e-05,-0.014601041,0
99af2455,0.010366189,-0.0051073274,0.02971963,-0.009454368,-0.010655278,-0.02311976,-0.0064058537,0.026785068,-0.0029603466,0.0020505066,-0.01256347,-0.028304085,-0.0098912595,0.024517862,0.0012747417,-0.028003428,-0.004703126,0.012915924,0.027778966,0.007951592,-0.00084617507,-0.031256575,0.021988356,0.001198799,-0.0112800505,0.019085452,-0.022788625,-0.028279264,0.0038311644,-0.0029221175,-0.017689748,-0.015447462,1
39be1ea2,-0.0141255995,-0.027495202,0.017940734,0.021936104,0.021546755,-0.005320589,0.0033547608,0.017812029,0.0047731046,0.024122773,0.018284155,0.014198836,-0.01688505,0.0130613325,-0.003629495,-0.002017153,-0.025174145,-0.0044338494,-0.0006090453,0.0034521832,-0.013195927,0.005287477,-0.005395199,0.0178011,-0.019626776,0.017561967,-0.025481706,-0.020400658,-0.0010406649,-0.011666468,0.011351978,-0.030113803,0
e7ec7bdb,-0.00551997,-0.012379659,-0.030405218,0.024569804,-0.0018362233,-0.0017377873,0.022353219,-0.028318692,0.019723998,-0.023396749,-0.017051365,0.015722508,-0.010968838,-0.011031276,-0.019755358,-0.0125238225,-0.008533422,-0.01254187,0.02938423,0.029920785,-0.0013350523,-0.0010000423,-0.017884303,0.02453077,-0.015428036,0.01848434,0.028465554,0.017891819,-0.002889087,0.017472481,0.021495376,-0.012113707,1
e2e0d938,-0.008923114,-0.023733923,0.011192349,0.019404586,0.019827751,0.016512465,-0.02518181,-0.020292792,0.015677936,-0.02818142,-0.023305848,0.004495816,-0.022283038,-0.018094936,-0.026353188,-0.005136866,-0.03134393,-0.0015713982,0.022553364,-0.021334477,-0.017750226,0.025922885,-0.027537033,0.010623292,-0.021446625,0.014306038,-0.011164822,0.00873564,0.016839214,0.027404744,0.029738396,0.014410706,0
afc399a9,0.023172341,0.0013672707,0.022760497,0.02043036,-0.025027866,0.02051185,0.013406752,0.008555638,-0.023575082,0.030755272,-0.010770924,-0.0061527765,0.011278323,-0.030521892,-0.028681062,0.02343632,0.011155549,0.015441493,-0.0028540299,-0.0046079657,-0.018715864,-0.012778636,-0.0018869396,0.0040304274,0.013163556,-0.03079745,0.01928737,-0.031306848,-0.0024800426,0.013911829,0.015684327,-0.0012227643,0
75c9a805,0.029248891,0.020968854,-0.02740694,0.025380062,0.018885046,-0.0069521694,0.022778884,0.026622511,0.006557642,-0.02471712,-0.026338266,-0.013405609,-0.009110514,-0.026584696,0.02932049,0.006831547,0.006657288,0.0048913485,-0.017253991,-0.008801319,0.017138487,0.012403453,0.0035170899,-0.00436478,-0.03040334,0.024738144,-0.010106558,0.017704688,0.021929232,0.016380385,-0.017139694,0.0048423386,0
d7a317f6,-0.022343958,0.019116178,0.0008010375,-0.0031439536,-0.021418849,0.010887541,0.00052804063,0.019279163,-0.027902475,-0.017175535,0.004908009,0.0065734494,-0.006908214,-0.017191013,-0.012816869,0.017579304,-0.016940154,0.004122774,-0.030452397,-0.017645244,0.0015696614,0.01699596,0.029942032,0.0088335285,0.002197343,-0.010878592,0.0031371894,0.0060504195,-0.002008388,0.027640883,0.007180133,-0.00394165,0
c14f4989,0.00087709085,-0.0074328706,-0.0038921286,0.012683537,0.030989341,-0.011252882,0.030690437,0.017852899,-0.014756401,0.003782752,-0.00248562,0.001311031,0.013732767,-0.021787902,-0.022921314,0.019421136,-0.0013792583,-0.012180733,-0.0045028357,0.015116993,0.0052830265,0.005132835,0.025148557,0.00223241,0.011338043,0.019020606,-0.0137341935,0.0010749851,-0.02911176,-0.016251948,0.03105625,0.00704588,1
733a496b,0.02162354,0.023150979,0.012914672,0.015640445,0.03002356,0.008992392,-0.00779715,0.019262535,0.021280834,-0.0013341036,0.024077186,-0.007501831,-0.0026957395,0.0029192069,-0.003882995,-0.014094356,-0.0020010155,0.007081537,-0.016412428,0.020754794,-0.011917187,0.01752188,0.012372498,0.026696002,0.031020029,0.013638035,0.016661182,-0.020003779,0.02617206,0.029113216,0.0272638,0.026523707,0
576eb672,-0.012704107,-0.025306018,-0.031178862,-0.014818608,-0.010026198,-0.025262978,-0.0019970168,-0.00812559,-0.02180807,-0.012685147,0.002990207,-0.02193169,-0.014238912,0.01369257,0.008536927,0.017906979,0.017439308,0.009003908,0.025827616,0.011166345,0.026798837,9.339354e-05,0.02359744,-0.0036980384,0.010211554,-0.0028803123,0.006671049,-0.011562372,-0.0028758084,0.00582836,0.00021125445,0.015811067,1
aa49b0eb,-0.0109709855,0.027334947,0.014494098,-0.012978521,-0.014194419,-0.030236207,-0.0052498044,-0.02400349,-0.007717673,-0.022927875,0.018118657,-0.006738988,-0.0017385,0.02645636,-0.024015445,-0.004832073,0.02897936,-0.021417037,0.0054398575,0.021923592,0.007603273,-0.028766543,0.023165744,-0.02141272,0.015772639,0.020738369,-0.00913513,0.008245012,-0.009225685,-0.026124362,-0.020296505,-0.010709816,0
847a9cf6,0.02296633,0.0222313,0.030830763,0.022212956,0.027485963,-0.016225357,0.00062391174,-0.02801289,0.031222347,0.0074791363,0.031147715,-0.004891392,-0.00788085,0.026193736,0.004513538,-0.02520509,0.008753386,0.023299014,0.008872359,0.007581008,-0.020280914,0.003437434,-0.014637777,-0.025207715,0.021053538,0.0022163684,0.010344012,0.018072775,-0.010509344,-0.014663453,0.00016196538,-0.0089190155,0
b070a6bb,0.031223362,-0.0003296759,0.008350534,-0.007763761,-0.019985722,0.00738359,-0.025144815,-0.028685777,0.009720644,0.0018289036,0.011427489,0.0048095565,0.004507129,0.025466267,0.0244941,0.021372838,0.010704422,-0.003112496,-0.011752476,-0.010759322,0.0071602063,-0.016566826,0.029851263,0.017830351,-0.02420312,0.011936665,0.0026735025,-0.014598932,0.019725421,0.0061460906,0.03047816,0.01656227,0
12a388ff,-0.020083252,0.013107125,-0.0047157044,-0.01798679,0.0034359803,-0.026263641,-0.01310937,0.017068345,0.017290076,-0.02974855,-0.021200314,-0.0045904242,-0.012152399,-0.022205023,-0.014287453,0.010331713,-0.027238013,0.011230382,-0.009383237,-0.023383895,0.009438654,0.022773776,-0.006582709,0.030194364,0.0076077883,-0.01781223,-0.022070263,-0.027747419,0.028184945,-0.0067806523,-0.025530465,-0.019688837,1
586377aa,0.016081436,-0.01605318,0.014712567,-0.012867354,-0.00030243356,-0.011452346,0.005355836,-0.027000234,-0.012619293,0.016509136,-0.024148304,0.015485354,-0.015869688,-0.022566121,0.0018482178,0.0051935455,-0.023962392,0.00038385284,0.017991178,0.01804897,-0.018925874,-0.010718133,-0.0139510175,-0.0012823535,-0.019611733,-0.0077241883,0.0036135332,0.014332025,-0.02050247,0.009666665,-0.020496855,-0.014400337,0
b36f9c84,-0.0013339435,0.000906963,-0.02582095,-0.0017329729,-0.015412728,-0.011609821,0.025225718,-0.0075002946,-0.0116019705,-0.01122049,-0.00094183267,0.008514587,-0.029199217,-0.030775348,0.0125612235,-0.009633917,0.009604936,-0.010941416,0.0085660275,0.02199975,-0.02232954,0.015716385,0.018322328,-0.015496658,-0.013588138,-0.030449713,0.0039567784,-0.013774195,0.019208582,0.026056057,0.020159397,0.019362966,0
1b467848,0.008719166,0.009925955,-0.015464159,-0.005523772,0.024132302,0.0012919991,0.014662708,0.009236291,-0.023317156,-0.00055731717,0.006880601,0.024892239,0.030839296,0.004059332,-0.0064570564,0.010661491,0.0068679904,-0.012197476,0.02781924,-0.027401362,0.023876658,0.029013673,-0.011940327,-0.02880302,0.0003256252,-0.0018441007,0.011407366,0.02171648,0.015006656,-0.026135353,0.017587526,-0.008373753,1
362e42e0,-0.009438755,0.014124016,-0.009090797,-0.026719814,0.025560465,-0.0075050285,0.020861246,-0.02082388,0.010276961,-0.030746058,-0.011684855,0.01910223,0.009369832,-0.018451763,-0.031297144,0.005771484,-0.025191119,0.027319733,-0.009699948,0.028711695,0.017547185,-0.018820671,0.02470306,0.013655581,-0.012393884,-0.01938182,0.01579882,0.027553806,0.028848825,-0.026948774,0.0068185143,0.018742999,0
