alert_id,alert_type,is_sar,tran_id
1,fan_out,true,812789
1,fan_out,true,811275
1,fan_out,true,809880
1,fan_out,true,809878
1,fan_out,true,811264
1,fan_out,true,808383
2,fan_out,true,761034
2,fan_out,true,759467
2,fan_out,true,759465
2,fan_out,true,759463
2,fan_out,true,761033
2,fan_out,true,758017
2,fan_out,true,761032
3,fan_out,true,951154
3,fan_out,true,949640
3,fan_out,true,948272
3,fan_out,true,949630
3,fan_out,true,948275
4,fan_out,true,849962
4,fan_out,true,848488
4,fan_out,true,849935
4,fan_out,true,849946
4,fan_out,true,848489
5,fan_out,true,307352
5,fan_out,true,307349
5,fan_out,true,307353
5,fan_out,true,305998
5,fan_out,true,307354
5,fan_out,true,307365
5,fan_out,true,307361
6,fan_out,true,224675
6,fan_out,true,224674
6,fan_out,true,221914
6,fan_out,true,221917
6,fan_out,true,224676
6,fan_out,true,223315
6,fan_out,true,223317
7,fan_out,true,153812
7,fan_out,true,153811
7,fan_out,true,152428
7,fan_out,true,155259
7,fan_out,true,155258
8,fan_out,true,83654
8,fan_out,true,83661
8,fan_out,true,80756
8,fan_out,true,80758
8,fan_out,true,83660
8,fan_out,true,80760
8,fan_out,true,83665
9,fan_out,true,396448
9,fan_out,true,396449
9,fan_out,true,397982
9,fan_out,true,396454
9,fan_out,true,397991
9,fan_out,true,397977
10,fan_out,true,69125
10,fan_out,true,67695
10,fan_out,true,72110
10,fan_out,true,70705
10,fan_out,true,70703
10,fan_out,true,67701
10,fan_out,true,70710
10,fan_out,true,70708
11,fan_out,true,188496
11,fan_out,true,189851
11,fan_out,true,189857
11,fan_out,true,189856
11,fan_out,true,188494
11,fan_out,true,191213
11,fan_out,true,191208
12,fan_out,true,40470
12,fan_out,true,39024
12,fan_out,true,40475
12,fan_out,true,41899
13,fan_out,true,30465
13,fan_out,true,31934
13,fan_out,true,30462
13,fan_out,true,31939
13,fan_out,true,33323
13,fan_out,true,34763
14,fan_out,true,327429
14,fan_out,true,328888
14,fan_out,true,330266
14,fan_out,true,327425
14,fan_out,true,327443
14,fan_out,true,327451
14,fan_out,true,328883
14,fan_out,true,327421
15,fan_out,true,80759
15,fan_out,true,80753
15,fan_out,true,83662
15,fan_out,true,82210
15,fan_out,true,80755
15,fan_out,true,83659
15,fan_out,true,80764
15,fan_out,true,83667
16,fan_in,true,399504
16,fan_in,true,399508
16,fan_in,true,397993
16,fan_in,true,401003
16,fan_in,true,397984
16,fan_in,true,397994
16,fan_in,true,396455
17,fan_in,true,475932
17,fan_in,true,475929
17,fan_in,true,475933
17,fan_in,true,474379
18,fan_in,true,95356
18,fan_in,true,95357
18,fan_in,true,95354
18,fan_in,true,95358
18,fan_in,true,96601
18,fan_in,true,93978
18,fan_in,true,93974
19,fan_in,true,69120
19,fan_in,true,67699
19,fan_in,true,67692
19,fan_in,true,67693
20,fan_in,true,639521
20,fan_in,true,642427
20,fan_in,true,639519
20,fan_in,true,639516
21,fan_in,true,741027
21,fan_in,true,738049
21,fan_in,true,739449
21,fan_in,true,741030
21,fan_in,true,739446
21,fan_in,true,739473
21,fan_in,true,741028
22,fan_in,true,46164
