node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
3aa9646b,0.016529942,-0.010946558,-0.000495509,-0.0007657624,0.028228723,-0.0070266617,0.013945064,-0.009409888,0.0076322015,-0.030659862,0.020886214,0.0057737045,0.021449279,-0.00083985593,0.028719801,-0.015802497,-0.015998626,0.031112356,0.0065636123,-0.007946745,-0.007422611,-0.013737274,-0.012159993,-0.022670612,-0.0050342954,-0.024899127,-0.022037812,-0.021843769,-0.009676812,0.020635435,0.008848636,-0.024739988
1e46e726,0.00659081,0.0133438045,-0.01514227,0.026666189,0.026162937,0.028550325,-0.03020826,-0.028692527,0.022439351,-0.0023071542,0.012961024,0.0052482896,-0.019009043,0.008126416,-0.021170875,-0.012179321,-0.022599356,-0.020954836,-0.0030342015,-0.02890179,-0.003116796,0.022349196,-0.004233088,-0.011421352,0.019160114,0.018987276,0.021967879,-0.01129982,0.030991606,0.027276523,-0.012025359,-0.010329348
49203bc3,0.005049932,0.0021584025,-0.025957875,0.010060813,-0.030157393,0.024989005,-0.020234711,0.019329634,-0.028947616,0.0053225546,0.030439448,-0.0121834995,-0.0273807,0.016509062,0.02815977,0.02096884,0.023764746,0.019539667,-0.020696145,-0.02071027,0.017359696,0.0068835937,0.009855054,-0.00052875397,0.009420926,-0.022866713,0.015095667,0.0027688919,0.014326836,-0.019856067,-0.015230436,-0.025997443
a74d1101,0.02024162,0.017416382,0.028806383,0.02761156,-0.0005585722,0.0136442445,-0.029238509,0.025620079,0.031110726,-0.009324281,0.015002539,-0.009082924,0.027879858,-0.011559813,0.013300831,-0.030220727,0.0062733316,0.012625992,-0.009005445,0.02290159,0.016829701,0.011124952,-0.0162634,0.0027942616,0.01068368,-0.03100302,0.0054172743,0.019303143,-0.019356595,0.029951565,-0.028006725,-0.023648169
616d4505,0.029466301,0.012670632,-0.0063951407,0.021654757,0.031387825,-0.016555836,0.018658428,-0.017665625,0.013848887,-0.024130816,-0.0252765,0.019715928,-0.031013722,-0.010838177,0.021439575,-0.022198265,0.017468037,0.00619128,-0.023697866,-0.030728767,0.02940875,-0.010068883,-0.011221508,-0.022777647,-0.02236527,0.010624379,-0.014411008,0.018756382,0.00977724,-0.020094408,0.006874073,-0.022808732
99af2455,0.0130856335,0.014227882,0.026677277,0.019890074,0.030901467,-0.017162994,0.009644896,-0.011460829,-0.027546737,0.00266231,0.015772318,-0.0015595827,0.016786944,0.018333625,-0.028766906,-0.01706019,0.015642047,0.029983573,-0.021470563,-0.025320062,0.016265115,0.026378807,0.014310513,-0.008442071,0.0039343536,0.029607523,-0.02628746,0.02814776,-0.023363462,-0.010399435,-0.022952285,-0.02965319
39be1ea2,0.02251096,0.030014887,0.01479156,0.0068263873,0.026355878,0.013038266,0.019698527,-0.0023594669,-0.026431827,0.029128086,-0.009200921,0.030232392,0.0069833403,-0.026763046,-0.030284876,0.016409254,-0.018118791,-0.020398835,-0.021174248,0.028439678,-0.012547556,-0.026910303,-0.019134963,0.011709316,0.0024592334,-0.01622464,-0.008620712,-0.00082819123,-0.020773288,-0.0075788056,0.023876375,-0.01799505
e7ec7bdb,-0.015120712,-0.014387033,-0.018982345,0.010513645,-0.0141522,0.026593758,-0.013722992,-0.02845985,-0.015105562,0.020156085,-0.019919038,-0.016415872,-0.02302155,0.018922053,0.010266683,0.008668811,-0.01000441,0.019053502,-0.019277602,-0.0063598077,-0.018593075,-0.002952934,-0.00637336,0.026712552,-0.00010034596,-0.026959952,-0.017446825,-0.021336624,0.0085348375,0.029686293,-0.0183754,0.026252698
e2e0d938,0.030832166,-0.016196284,0.022995662,0.0057754135,0.008349316,0.020643195,0.025187863,-0.0011613774,-0.022144087,0.025457129,0.014290269,0.01875799,-0.015910761,0.0043748682,-0.021605836,-0.010486483,0.011720931,-0.015393046,-0.025532337,0.029147575,-0.014367691,0.024376446,-0.00060782745,0.013807329,0.026563425,0.027592327,-0.0027248648,0.0130935,-0.023902496,-0.010663083,-0.017805694,-0.019710323
afc399a9,0.011578944,-0.010084981,-0.004988005,0.031118447,0.0007541801,-0.028048836,-0.024419509,0.021388821,-0.003042578,-0.026914276,-0.004929178,-0.0135512035,-0.030522494,-0.023830704,-0.02200764,-0.014321683,-0.016626313,0.0023365975,0.019530999,-0.01609913,0.020507684,-0.023672214,0.03020146,-0.0025358049,0.027574161,0.0049243947,-0.014663242,0.02618867,-0.011051965,-0.020489294,0.014449137,0.0117109725
